State,Year,Drug Related Deaths,"Rate per 100,000"
Alabama,1999,443,9.999681725705797
Alabama,2000,468,10.523712082030986
Alabama,2001,482,10.788708296158548
Alabama,2002,458,10.223011194643679
Alabama,2003,472,10.48075814962215
Alabama,2004,573,12.646971381426699
Alabama,2005,586,12.823304276659506
Alabama,2006,711,15.35975196268898
Alabama,2007,808,17.291411646878558
Alabama,2008,896,18.99026875893083
Alabama,2009,923,19.399159888170043
Alabama,2010,849,17.76248730055384
Alabama,2011,850,17.69823059336962
Alabama,2012,912,18.913223765212233
Alabama,2013,907,18.764008356293555
Alabama,2014,1109,22.86891697634562
Alabama,2015,1126,23.1735926415817
Alabama,2016,1248,25.661587810745793
Alabama,2017,1347,27.632203271267205
Alaska,1999,141,22.567980037741346
Alaska,2000,138,22.011956639635557
Alaska,2001,183,28.877380016853028
Alaska,2002,199,30.98062232130486
Alaska,2003,202,31.152936241351977
Alaska,2004,182,27.60562183938382
Alaska,2005,182,27.28856609080795
Alaska,2006,201,29.764460937476866
Alaska,2007,207,30.42775246214905
Alaska,2008,274,39.85715428646239
Alaska,2009,271,38.77549560377453
Alaska,2010,196,27.596655172753653
Alaska,2011,228,31.547574572654895
Alaska,2012,251,34.315447830265676
Alaska,2013,230,31.286898135300873
Alaska,2014,258,35.01951863092685
Alaska,2015,276,37.376495059802394
Alaska,2016,312,42.05452530954557
Alaska,2017,310,41.90350029400037
Arizona,1999,1024,20.382883712264544
Arizona,2000,1031,20.0949902468156
Arizona,2001,1039,19.702370940463002
Arizona,2002,1172,21.71876607017274
Arizona,2003,1310,23.77338411763724
Arizona,2004,1388,24.555923461946456
Arizona,2005,1503,25.74036958238434
Arizona,2006,1612,26.736810434521267
Arizona,2007,1727,28.000799652251796
Arizona,2008,1637,26.06537648625987
Arizona,2009,1843,29.05494648245967
Arizona,2010,2127,33.275881462768325
Arizona,2011,2126,32.79596390592834
Arizona,2012,2261,34.50193834972087
Arizona,2013,2442,36.85134391207348
Arizona,2014,2443,36.29214598148046
Arizona,2015,2627,38.47356461896599
Arizona,2016,2826,40.772919509841984
Arizona,2017,2853,40.662631284143856
Arkansas,1999,231,8.71086708951453
Arkansas,2000,259,9.688037704795391
Arkansas,2001,285,10.588611632388668
Arkansas,2002,319,11.788935917339973
Arkansas,2003,336,12.331107861962055
Arkansas,2004,370,13.456081894441766
Arkansas,2005,426,15.31769657800501
Arkansas,2006,476,16.868898535347252
Arkansas,2007,499,17.51706948905622
Arkansas,2008,590,20.524923170690133
Arkansas,2009,557,19.227828363497782
Arkansas,2010,553,18.964868010691657
Arkansas,2011,551,18.75438864607269
Arkansas,2012,573,19.429452269159967
Arkansas,2013,532,17.976780892439038
Arkansas,2014,585,19.721079879138436
Arkansas,2015,665,22.328893521061687
Arkansas,2016,707,23.659348220094184
Arkansas,2017,737,24.531676319010316
California,1999,6375,19.030302928989
California,2000,5702,16.834138096853156
California,2001,4904,14.222961393418657
California,2002,6952,19.935854838529757
California,2003,7366,20.894581390564177
California,2004,7379,20.742341384476376
California,2005,7747,21.622787554395742
California,2006,7949,22.067558989286365
California,2007,8199,22.617736989897825
California,2008,8310,22.702227880810952
California,2009,8535,23.0917646163768
California,2010,8542,22.929108522058705
California,2011,8915,23.652289117092284
California,2012,8726,22.938149275671286
California,2013,9306,24.277036201193237
California,2014,9556,24.62727917015656
California,2015,10168,25.97534110389784
California,2016,10144,25.844574793432574
California,2017,10396,26.29458796120147
Colorado,1999,843,19.947856350824818
Colorado,2000,816,18.971180776986095
Colorado,2001,954,21.555975377382087
Colorado,2002,988,22.00246481053161
Colorado,2003,1046,23.096972839196493
Colorado,2004,1046,22.86332301132259
Colorado,2005,1139,24.59040460391098
Colorado,2006,1185,25.103682445407966
Colorado,2007,1357,28.248070096846956
Colorado,2008,1435,29.34722367083663
Colorado,2009,1468,29.524183987152554
Colorado,2010,1409,28.016406598589516
Colorado,2011,1560,30.48782871156091
