,State,Year,Drug/Alcohol Induced,Drug/Alcohol Induced Cause,Deaths,Crude Rate
0,Alabama,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),116,2.6
1,Alabama,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),37,0.8
3,Alabama,1999,Drug-induced causes,All other drug-induced causes,26,0.6
4,Alabama,1999,Alcohol-induced causes,All other alcohol-induced causes,248,5.6
6,Alabama,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),130,2.9
7,Alabama,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),47,1.1
8,Alabama,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,0.4
9,Alabama,2000,Drug-induced causes,All other drug-induced causes,35,0.8
10,Alabama,2000,Alcohol-induced causes,All other alcohol-induced causes,236,5.3
12,Alabama,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),166,3.7
13,Alabama,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),36,0.8
15,Alabama,2001,Drug-induced causes,All other drug-induced causes,37,0.8
16,Alabama,2001,Alcohol-induced causes,All other alcohol-induced causes,230,5.1
18,Alabama,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),171,3.8
19,Alabama,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),28,0.6
21,Alabama,2002,Drug-induced causes,All other drug-induced causes,37,0.8
22,Alabama,2002,Alcohol-induced causes,All other alcohol-induced causes,210,4.7
24,Alabama,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),155,3.4
25,Alabama,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),21,0.5
26,Alabama,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),21,0.5
27,Alabama,2003,Drug-induced causes,All other drug-induced causes,58,1.3
28,Alabama,2003,Alcohol-induced causes,All other alcohol-induced causes,217,4.8
30,Alabama,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),223,4.9
31,Alabama,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),42,0.9
33,Alabama,2004,Drug-induced causes,All other drug-induced causes,44,1.0
34,Alabama,2004,Alcohol-induced causes,All other alcohol-induced causes,246,5.4
36,Alabama,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),217,4.7
37,Alabama,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),28,0.6
38,Alabama,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),38,0.8
39,Alabama,2005,Drug-induced causes,All other drug-induced causes,49,1.1
40,Alabama,2005,Alcohol-induced causes,All other alcohol-induced causes,254,5.6
42,Alabama,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),310,6.7
43,Alabama,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),40,0.9
44,Alabama,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),48,1.0
45,Alabama,2006,Drug-induced causes,All other drug-induced causes,68,1.5
46,Alabama,2006,Alcohol-induced causes,All other alcohol-induced causes,245,5.3
48,Alabama,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),424,9.1
