Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 1990,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,4040587,28630,467,1319,,5805,21039,169974,44585,111336,14053,708.6,11.6,32.6,,143.7,520.7,4206.7,1103.4,2755.4,347.8
Alaska,550043,2885,41,401,,422,2021,25457,4919,17428,3110,524.5,7.5,72.9,,76.7,367.4,4628.2,894.3,3168.5,565.4
Arizona,3665228,23911,284,1500,,5897,16230,265229,61206,172375,31648,652.4,7.7,40.9,,160.9,442.8,7236.4,1669.9,4703,863.5
Arkansas,2350725,12511,241,1019,,2661,8590,101897,28464,66630,6803,532.2,10.3,43.3,,113.2,365.4,4334.7,1210.9,2834.4,289.4
California,29760021,311051,3553,12688,,112208,182602,1654186,400392,951580,302214,1045.2,11.9,42.6,,377,613.6,5558.4,1345.4,3197.5,1015.5
Colorado,3294394,17328,138,1521,,2985,12684,182106,39822,128172,14112,526,4.2,46.2,,90.6,385,5527.8,1208.8,3890.6,428.4
Connecticut,3287116,18201,166,918,,7717,9400,158867,40355,94485,24027,553.7,5.1,27.9,,234.8,286,4833,1227.7,2874.4,730.9
Delaware,666168,4365,33,587,,1098,2647,31344,6465,21922,2957,655.2,5,88.1,,164.8,397.3,4705.1,970.5,3290.8,443.9
District of Columbia,606900,14919,472,303,,7365,6779,50470,12035,30326,8109,2458.2,77.8,49.9,,1213.5,1117,8316,1983,4996.9,1336.1
Florida,12937926,160990,1379,6781,,53928,98902,978944,280832,591210,106902,1244.3,10.7,52.4,,416.8,764.4,7566.5,2170.6,4569.6,826.3
Georgia,6478216,48996,767,3472,,17067,27690,389165,104905,240623,43637,756.3,11.8,53.6,,263.5,427.4,6007.3,1619.4,3714.3,673.6
Hawaii,1108229,3113,44,360,,1013,1696,64563,13611,46735,4217,280.9,4,32.5,,91.4,153,5825.8,1228.2,4217.1,380.5
Idaho,1006749,2776,27,275,,151,2323,38069,8187,28216,1666,275.7,2.7,27.3,,15,230.7,3781.4,813.2,2802.7,165.5
Illinois,11430602,110575,1182,4505,,45038,59850,567841,121506,372862,73473,967.4,10.3,39.4,,394,523.6,4967.7,1063,3262,642.8
Indiana,5544159,26275,344,2103,,5619,18209,233376,52297,156741,24338,473.9,6.2,37.9,,101.3,328.4,4209.4,943.3,2827.1,439
Iowa,2776755,8321,54,510,,1089,6668,105550,22448,78384,4718,299.7,1.9,18.4,,39.2,240.1,3801.2,808.4,2822.9,169.9
