,Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
,http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,National or state crime in 2005,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,,
Year,State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
2005,Alabama,4548327,19678,374,1564,,6447,11293,177393,43473,120780,13140,433,8.2,34.4,,141.7,248.3,3900,955.8,2656,289
2005,Alaska,663253,4194,32,538,,537,3087,23975,4131,17249,2595,632,4.8,81.1,,81,465.4,3615,622.8,2601,391
2005,Arizona,5953007,30478,445,2006,,8579,19448,287345,56328,176112,54905,512,7.5,33.7,,144.1,326.7,4827,946.2,2958,922
2005,Arkansas,2775708,14670,189,1202,,2532,10747,112914,30118,75510,7286,528,6.8,43.3,,91.2,387.2,4068,1085.1,2720,262
2005,California,36154147,190178,2503,9392,,63622,114661,1200531,250521,692467,257543,526,6.9,26,,176,317.1,3321,692.9,1915,712
2005,Colorado,4663295,18498,173,2026,,3948,12351,188449,34746,127602,26101,397,3.7,43.4,,84.7,264.9,4041,745.1,2736,560
2005,Connecticut,3500701,9542,105,712,,3933,4792,90270,15245,64416,10609,273,3,20.3,,112.3,136.9,2579,435.5,1840,303
2005,Delaware,841741,5332,37,377,,1306,3612,26245,5811,18085,2349,633,4.4,44.8,,155.2,429.1,3118,690.4,2148,279
2005,District of Columbia,582049,8032,195,166,,3700,3971,26133,3577,14836,7720,1380,33.5,28.5,,635.7,682.2,4490,614.6,2549,1326
2005,Florida,17768191,125957,883,6592,,30141,88341,712998,164783,472912,75303,709,5,37.1,,169.6,497.2,4013,927.4,2662,424
2005,Georgia,9132553,40725,564,2143,,14041,23977,378534,84463,249594,44477,446,6.2,23.5,,153.7,262.5,4145,924.9,2733,487
2005,Hawaii,1273278,3253,24,343,,1001,1885,61115,9792,42188,9135,256,1.9,26.9,,78.6,148,4800,769,3313,717
2005,Idaho,1429367,3670,35,577,,266,2792,38556,8066,27606,2884,257,2.4,40.4,,18.6,195.3,2697,564.3,1931,202
2005,Illinois,12765427,70496,770,4313,,23255,42158,394670,77635,277662,39373,552,6,33.8,,182.2,330.3,3092,608.2,2175,308
2005,Indiana,6266019,20302,356,1856,,6809,11281,216778,43756,151278,21744,324,5.7,29.6,,108.7,180,3460,698.3,2414,347
2005,Iowa,2965524,8697,40,847,,1153,6657,84370,18147,60723,5500,293,1.3,28.6,,38.9,224.5,2845,611.9,2048,186
2005,Kansas,2748172,10701,101,1098,,1795,7707,104588,19028,76222,9338,389,3.7,40,,65.3,280.4,3806,692.4,2774,340
2005,Kentucky,4172608,11134,190,1421,,3690,5833,105608,26458,70354,8796,267,4.6,34.1,,88.4,139.8,2531,634.1,1686,211
2005,Louisiana,4507331,26889,450,1421,,5337,19681,166611,39382,112840,14389,597,10,31.5,,118.4,436.6,3696,873.7,2504,319
2005,Maine,1318220,1483,19,326,,323,815,31889,6323,24218,1348,112,1.4,24.7,,24.5,61.8,2419,479.7,1837,102
2005,Maryland,5589599,39369,552,1266,,14378,23173,198483,35922,128491,34070,704,9.9,22.6,,257.2,414.6,3551,642.7,2299,610
2005,Massachusetts,6433367,29644,178,1751,,7837,19878,151727,34728,98079,18920,461,2.8,27.2,,121.8,309,2358,539.8,1524,294
2005,Michigan,10100833,55936,629,5199,,13348,36760,312892,70527,194090,48275,554,6.2,51.5,,132.1,363.9,3098,698.2,1922,478
2005,Minnesota,5126739,15243,115,2258,,4724,8146,158301,29716,114304,14281,297,2.2,44,,92.1,158.9,3088,579.6,2230,279
2005,Mississippi,2908496,8131,214,1147,,2405,4365,95231,26866,60873,7492,280,7.4,39.4,,82.7,150.1,3274,923.7,2093,258
2005,Missouri,5797703,30477,402,1625,,7196,21254,227809,42822,159288,25699,526,6.9,28,,124.1,366.6,3929,738.6,2747,443
2005,Montana,934737,2634,18,301,,177,2138,29407,3642,23794,1971,282,1.9,32.2,,18.9,228.7,3146,389.6,2546,211
2005,Nebraska,1758163,5052,44,581,,1040,3387,60348,9408,45359,5581,287,2.5,33,,59.2,192.6,3432,535.1,2580,317
2005,Nevada,2412301,14654,206,1016,,4702,8730,102424,23481,52012,26931,608,8.5,42.1,,194.9,361.9,4246,973.4,2156,1116
2005,New Hampshire,1306819,1761,19,406,,365,971,24031,4192,18493,1346,135,1.5,31.1,,27.9,74.3,1839,320.8,1415,103
2005,New Jersey,8703150,30919,417,1208,,13215,16079,203391,38980,136728,27683,355,4.8,13.9,,151.8,184.7,2337,447.9,1571,318
2005,New Mexico,1925985,12448,144,1041,,1893,9370,79575,20939,50707,7929,646,7.5,54.1,,98.3,486.5,4132,1087.2,2633,412
2005,New York,19315721,85839,874,3636,,35179,46150,405990,68034,302220,35736,444,4.5,18.8,,182.1,238.9,2102,352.2,1565,185
2005,North Carolina,8672459,40650,585,2302,,12635,25128,353855,104298,221091,28466,469,6.7,26.5,,145.7,289.7,4080,1202.6,2549,328
2005,North Dakota,634605,706,12,180,,54,460,12848,2043,9732,1073,111,1.9,28.4,,8.5,72.5,2025,321.9,1534,169
2005,Ohio,11470685,40162,590,4671,,18673,16228,420705,100183,279051,41471,350,5.1,40.7,,162.8,141.5,3668,873.4,2433,362
2005,Oklahoma,3543442,18044,187,1481,,3230,13146,143406,35692,93814,13900,509,5.3,41.8,,91.2,371,4047,1007.3,2648,392
2005,Oregon,3638871,10444,80,1266,,2478,6620,160199,27621,113316,19262,287,2.2,34.8,,68.1,181.9,4402,759.1,3114,529
2005,Pennsylvania,12405348,52761,756,3586,,19214,29205,300444,56134,214916,29394,425,6.1,28.9,,154.9,235.4,2422,452.5,1732,237
2005,Rhode Island,1073579,2710,34,323,,776,1577,29287,5319,19567,4401,252,3.2,30.1,,72.3,146.9,2728,495.4,1823,410
2005,South Carolina,4246933,32590,314,1862,,5657,24757,185606,42741,126489,16376,767,7.4,43.8,,133.2,582.9,4370,1006.4,2978,386
2005,South Dakota,774883,1387,18,377,,145,847,13694,2505,10350,839,179,2.3,48.7,,18.7,109.3,1767,323.3,1336,108
2005,Tennessee,5955745,45104,431,2194,,10009,32470,256093,61508,169357,25228,757,7.2,36.8,,168.1,545.2,4300,1032.8,2844,424
2005,Texas,22928508,121091,1407,8511,,35790,75383,990293,219828,677042,93423,528,6.1,37.1,,156.1,328.8,4319,958.8,2953,408
2005,Utah,2490334,5612,56,920,,1095,3541,95546,14971,72082,8493,225,2.2,36.9,,44,142.2,3837,601.2,2894,341
2005,Vermont,622387,782,8,153,,76,545,14749,3185,10894,670,126,1.3,24.6,,12.2,87.6,2370,511.7,1750,108
2005,Virginia,7564327,21434,458,1763,,7495,11718,200404,29829,154584,15991,283,6.1,23.3,,99.1,154.9,2649,394.3,2044,211
2005,Washington,6291899,21745,205,2811,,5788,12941,307661,60343,198031,49287,346,3.3,44.7,,92,205.7,4890,959.1,3147,783
2005,West Virginia,1814083,4968,82,335,,816,3735,47757,11334,32603,3820,274,4.5,18.5,,45,205.9,2633,624.8,1797,211
2005,Wisconsin,5527644,13367,206,1135,,4555,7471,147556,24448,110531,12577,242,3.7,20.5,,82.4,135.2,2669,442.3,2000,228
2005,Wyoming,508798,1172,14,122,,78,958,16070,2426,12905,739,230,2.8,24,,15.3,188.3,3158,476.8,2536,145
,,,,,,,,,,,,,,,,,,,,,,
,"		",,,,,,,,,,,,,,,,,,,,,
,"		","1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as ""Forcible"" rape.  See UCR Offense Definitions for further information.",,,,,,,,,,,,,,,,,,,,
,"		",,,,,,,,,,,,,,,,,,,,,
,"		",2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.,,,,,,,,,,,,,,,,,,,,
,"		",,,,,,,,,,,,,,,,,,,,,
,"		",,,,,,,,,,,,,,,,,,,,,
,"		",Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"           Rates are the number of reported offenses per 100,000 population  ",,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,Alabama - ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data.  ",,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,Delaware - ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"Since complete 1995 data were not available from Delaware, standard estimation procedures were applied to derive the 1995 state estimate. ",,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide.  ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"District of Columbia - ",,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"1999-2008 District of Columbia data include reports from the Zoological Police ",,,,,,,,,,,,,,,,,,,
,,,"2002-2008 data include reports from the Metro Transit Police ",,,,,,,,,,,,,,,,,,,
,,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police.  ",,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,Florida - ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates. ",,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies.  ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,Illinois - ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"The state UCR Program was unable to provide 1985-current forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2006. ",,,,,,,,,,,,,,,,,,,
,,,"For 1993 state NIBRS conversion efforts resulted in estimation for Illinois.  Since valid annual totals were available for approximately 60 Illinois agencies, those counts were maintained.  The counts for the remaining jurisdictions were replaced with the most recent valid annual totals or were generated using standard estimation procedures.  The results of all sources were then combined to arrive at the 1993 state total for Illinois. ",,,,,,,,,,,,,,,,,,,
,,,"For 1994 state NIBRS conversion efforts resulted in estimation for Illinois.  Illinois totals were generated using only the valid crime rates for the East North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.   ",,,,,,,,,,,,,,,,,,,
,,,"For 1996-current, the state UCR Program was unable to provide complete offense figures in accordance with UCR guidelines.  Valid Part I counts were available for most of the largest cities (100,000 and over in population).  For other agencies, the only available counts generated by the Illinois State Program were state totals based upon an incident-level system without indication of multiple offenses recorded within single incidents.  Therefore, the UCR Hierarchy Rule could not be applied in order to convert the state's data to Summary Reporting System data.  (The Hierarchy Rule requires that only the most serious offense in a multiple-offense criminal incident is counted.)  To arrive at a comparable state estimate to be included in national compilations, the Illinois State Program's state totals (which were inflated because of the nonapplication of the Hierarchy Rule) were reduced by the proportion of multiple offenses reported within single incidents in the NIBRS database.  Valid totals for the large cities were excluded from the reduction process.  ",,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"Iowa - NIBRS conversion efforts resulted in estimation for Iowa in 1991.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.",,,,,,,,,,,,,,,,,,,
,  ,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,Kansas - ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"NIBRS conversion efforts resulted in estimation for Kansas in 1993.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.  ",,,,,,,,,,,,,,,,,,,
,,,"NIBRS conversion efforts resulted in estimation for Kansas in 1994.  State totals were generated using only the valid crime rates for the West North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.   ",,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide valid 1994 state totals which were then updated using 1995 crime trends for the West North Central Division.   ,,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.   ,,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.   ,,,,,,,,,,,,,,,,,,,
,,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates, 1997 state totals supplied by the Kansas State UCR Program were updated using 1998 crime trends for the West North Central Division. ",,,,,,,,,,,,,,,,,,,
,,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kansas, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kansas is located.  ",,,,,,,,,,,,,,,,,,,
,,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kansas, the 1999 state estimate was updated using 2000 crime trends for the West North Central Division.  ",,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,Kentucky - ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates.   ",,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total.  ,,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total.  ,,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. ,,,,,,,,,,,,,,,,,,,
,,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kentucky, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kentucky is located.  ",,,,,,,,,,,,,,,,,,,
,,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kentucky, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Kentucky is located.  ",,,,,,,,,,,,,,,,,,,
,,,"The state UCR Program was unable to provide complete 2001 offense figures in accordance with UCR guidelines.  To arrive at the 2001 estimate for Kentucky, the 2000 state estimate was updated using 2001 crime trends reported for the East South Central Division.   ",,,,,,,,,,,,,,,,,,,
,,,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count, the FBI contacted the state UCR Program, and the state agency was able to provide their latest state total, 2000.  Therefore, the 2001 state estimate was updated for inclusion in the 2002 edition of Crime in the United States by using the 2001 crime trends for the division in which the state is located.  To derive the 2002 state estimate, the 2002 crime trends for the division were applied to the adjusted 2001 state estimate.  ",,,,,,,,,,,,,,,,,,,
,,,"The state UCR Program was unable to provide complete 2003 offense figures in accordance with UCR guidelines.  To obtain the 2003 estimate, the 2003 crime trend for the East South Central Division was applied to an adjusted 2002 state estimate.  The 2002 state count was reestimated by applying the 2002 crime trend for the East South Central Division using a more current figure, 2001 state totals, provided by the state UCR Program.  The adjusted 2002 estimate differs from the figure published in the 2002 edition of Crime in the United States which was originally estimated using 2002 state totals  ",,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"Maine - The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The Maine Department of Public Safety forwarded monthly January through October crime counts for each law enforcement contributor; since 12 months of data were not received, the national Program estimated for the missing data following standard estimation procedures to arrive at a 1999 state total.",,,,,,,,,,,,,,,,,,,
,  ,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"Michigan - The state UCR Program was unable to provide 1993 forcible rape figures in accordance with UCR guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.",,,,,,,,,,,,,,,,,,,
,  ,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,Minnesota - ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"All agencies 1993 and 2005-Present (with the exception of Minneapolis and St. Paul) - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently, their figures for forcible rape and violent crime (of which forcible rape is part) are not included in this tool.  ",,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,Montana - ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,"The state UCR Program was unable to provide complete 1994 offense figures in accordance with UCR guidelines.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the Mountain Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.   ",,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  State estimates were computed by updating the previous valid annual totals using the 1994 versus 1995 percent changes for the Mountain Division. ,,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total.  ,,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total.  ,,,,,,,,,,,,,,,,,,,
,,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. ,,,,,,,,,,,,,,,,,,,
,,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Montana, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Montana is located. ",,,,,,,,,,,,,,,,,,,
